Date,City,State,School,Fatalities,Wounded
9/5/2000,Bidwell,Ohio,ES,2,
9/26/2000,New Orleans,Louisiana,MS,0,
9/26/2000,New Orleans,Louisiana,-,0,2
10/23/2000,Los Angeles,California,C,1,
10/26/2000,Brooklyn,New York,HS,1,
10/27/2000,Memphis,Tennessee,HS,1,
12/1/2000,Granada Hills,California,HS,0,
12/1/2000,San Diego,California,HS,0,1
1/10/2001,Oxnard,California,HS,1,
1/17/2001,Baltimore,Maryland,HS,1,
1/29/2001,Arlington,Texas,MS,1,
3/2/2001,San Diego,California,HS,0,
3/5/2001,Santee,California,HS,2,
3/5/2001,Santee,California,HS,2,13
3/7/2001,Williamsport,Pennsylvania,HS,0,
3/7/2001,Williamsport,Pennsylvania,HS,0,1
3/22/2001,El Cajon,California,HS,0,
3/22/2001,El Cajon,California,HS,0,5
3/30/2001,Gary,Indiana,HS,1,
3/30/2001,Gary,Indiana,HS,1,0
4/3/2001,Klein,Texas,MS,0,
4/25/2001,Cleveland,Ohio,HS,1,
5/15/2001,Ennis,Texas,HS,0,
5/16/2001,Parkland,Washington,C,2,0
5/17/2001,Pierce County,Washington,C,1,
10/12/2001,Taylorsville,Utah,HS,0,
11/12/2001,Caro,Michigan,HS,0,
1/15/2002,New York City,New York,HS,0,
1/15/2002,New York City,New York,HS,0,2
1/16/2002,Gundy,Virginia,C,3,
1/16/2002,Grundy,Virginia,C,3,3
2/20/2002,Milwaukee,Wisconsin,HS,1,0
6/11/2002,Conception,Missouri,-,3,2
7/26/2002,Charlotte,North Carolina,MS,1,
10/4/2002,San Antonio,Texas,MS,1,
10/7/2002,Bowie,Maryland,MS,0,
10/7/2002,Bowie,Maryland,MS,0,1
10/28/2002,Tucson,Arizona,C,4,
10/28/2002,Tucson,Arizona,C,4,0
10/29/2002,Jersey City,New Jersey,HS,0,1
11/7/2002,Liberty,Missouri,ES,1,
12/16/2002,Chicago,Illinois,HS,1,
3/23/2003,Meridian,Mississippi,HS,0,
4/10/2003,Walnut,California,HS,0,
4/14/2003,New Orleans,Louisiana,HS,1,
4/14/2003,New Orleans,Louisiana,HS,1,3
4/17/2003,Addison,Texas,ES,1,
4/24/2003,Red Lion,Pennsylvania,MS,1,
4/24/2003,Red Lion,Pennsylvania,HS,2,0
5/9/2003,Cleveland,Ohio,C,1,
5/9/2003,Cleveland,Ohio,C,1,2
5/13/2003,Johnstown,Pennsylvania,HS,1,
6/4/2003,Wellsboro,Pennsylvania,MS,0,
7/15/2003,Dallas,Texas,HS,0,
9/24/2003,Cold Spring,Minnesota,HS,2,
9/24/2003,Cold Spring,Minnesota,HS,2,0
10/30/2003,Washington,District Of Columbia,HS,1,
11/7/2003,Sugar Land,Texas,HS,1,
1/21/2004,Henderson,Nevada,ES,1,
2/2/2004,District of Columbia,District Of Columbia,HS,1,
2/2/2004,Washington,D.C.,HS,1,0
2/9/2004,East Greenbush,New York,HS,0,
2/9/2004,East Greenbush,New York,-,0,1
2/11/2004,Philadelphia,Pennsylvania,ES,1,
3/17/2004,Joyce,Washington,MS,0,
5/7/2004,Randallstown,Maryland,HS,0,
5/7/2004,Randallstown,Maryland,HS,0,4
5/24/2004,Salt Lake City,Utah,HS,1,
6/1/2004,St Croix,Virgin Islands,HS,1,
8/30/2004,Maywood,Illinois,HS,1,
10/4/2004,Memphis,Tennessee,HS,0,
11/22/2004,Philadelphia,Pennsylvania,HS,1,
12/10/2004,Nine Mile Falls,Washington,HS,1,
1/6/2005,Philadelphia,Pennsylvania,HS,1,
2/8/2005,Chicago,Illinois,HS,0,1
3/2/2005,Dover,Tennessee,HS,1,0
3/21/2005,Red Lake,Minnesota,HS,10,
3/21/2005,Red Lake,Minnesota,HS,10,7
5/17/2005,Lower Allen Township,Pennsylvania,ES,1,
9/13/2005,Chicago,Illinois,HS,0,
9/13/2005,Chicago,Illinois,HS,0,1
11/8/2005,Jacksboro,Tennessee,HS,1,
11/8/2005,Jacksboro,Tennessee,HS,1,2
1/13/2006,Birmingham,Alabama,HS,1,
1/13/2006,Longwood,Florida,MS,0,1
1/15/2006,Longwood,Florida,MS,1,
2/23/2006,Roseburg,Oregon,HS,1,
2/23/2006,Roseburg,Oregon,HS,0,1
3/14/2006,Reno,Nevada,MS,0,
3/14/2006,Reno,Nevada,MS,0,2
6/5/2006,Venice,California,HS,1,
8/24/2006,Essex,Vermont,ES,2,
8/24/2006,Essex Junction,Vermont,ES,2,3
8/30/2006,Hillsborough,North Carolina,HS,3,
8/30/2006,Hillsborough,North Carolina,HS,0,2
9/2/2006,Shepherdstown,West Virginia,C,2,
9/2/2006,Shepherdstown,West Virginia,C,3,0
9/17/2006,Pittsburgh,Pennsylvania,C,0,
9/17/2006,Pittsburgh,Pennsylvania,-,0,5
9/27/2006,Bailey,Colorado,HS,1,
9/27/2006,Bailey,Colorado,HS,2,0
9/29/2006,Cazenovia,Wisconsin,HS,1,
9/29/2006,Cazenovia,Wisconsin,HS,1,0
10/2/2006,Nickel Mines,Pennsylvania,HS,5,
10/2/2006,Nickel Mines,Pennsylvania,HS,6,3
10/9/2006,Joplin,Missouri,MS,0,
10/9/2006,Joplin,Missouri,MS,0,0
10/17/2006,Katy,Texas,HS,1,
10/29/2006,Fresno,California,ES,1,
11/28/2006,Houston,Texas,HS,1,
12/12/2006,Erdenheim,Pennsylvania,MS,1,
1/3/2007,Tacoma,Washington,HS,1,
1/3/2007,Tacoma,Washington,HS,1,0
2/8/2007,Prineville,Oregon,HS,1,
3/7/2007,Midland,Michigan,HS,0,
3/7/2007,Greenville,Texas,HS,0,
3/7/2007,Compton,California,HS,0,1
3/24/2007,Greensboro,North Carolina,C,0,
4/2/2007,Seattle,Washington,C,1,
4/10/2007,Gresham,Oregon,HS,0,
4/16/2007,Blacksburg,Virginia,C,32,
4/16/2007,Blacksburg,Virginia,C,33,23
9/21/2007,Dover,Delaware,C,1,
9/28/2007,Oroville,California,HS,0,
9/30/2007,Memphis,Tennessee,C,1,
10/10/2007,Cleveland,Ohio,HS,0,
10/10/2007,Cleveland,Ohio,HS,1,4
11/6/2007,Miami Gardens,Florida,HS,0,1
1/15/2008,Putnam City,Oklahoma,HS,0,
1/16/2008,Cleveland,Ohio,HS,0,
1/16/2008,Charlotte,North Carolina,HS,0,
2/4/2008,Memphis,Tennessee,HS,0,
2/4/2008,Memphis,Tennessee,HS,0,1
2/7/2008,Portsmouth,Ohio,ES,0,
2/8/2008,Baton Rouge,Louisiana,C,3,
2/8/2008,Baton Rouge,Louisiana,C,3,0
2/11/2008,Memphis,Tennessee,HS,0,
2/11/2008,Memphis,Tennessee,HS,0,1
2/12/2008,Oxnard,California,MS,1,
2/12/2008,Oxnard,California,HS,1,0
2/14/2008,DeKalb,Illinois,C,5,
2/14/2008,DeKalb,Illinois,C,6,21
2/23/2008,Jonesboro,Arkansas,C,0,
2/27/2008,Little Rock,Arkansas,C,0,
2/28/2008,Miami Gardens,Florida,HS,0,
3/6/2008,Mobile,Alabama,HS,1,
3/7/2008,Chicago,Illinois,HS,1,
4/5/2008,Chicago,Illinois,HS,1,
4/16/2008,Fresno,California,HS,1,
4/24/2008,Omaha,Nebraska,MS,0,
4/29/2008,Washington,District of Columbia,C,0,
7/24/2008,Phoenix,Arizona,C,0,
8/14/2008,Federal Way,Washington,MS,1,
8/14/2008,Federal Way,Washington,MS,1,0
8/21/2008,Knoxville,Tennessee,HS,1,
8/21/2008,Knoxville,Tennessee,HS,1,0
8/29/2008,Portland,Oregon,HS,0,
9/2/2008,Willoughby,Ohio,HS,0,
9/2/2008,Willoughby,Ohio,HS,0,0
10/13/2008,San Antonio,Texas,C,1,
10/16/2008,Detroit,Michigan,HS,1,
10/16/2008,Detroit,Michigan,HS,1,3
10/20/2008,Acton,California,HS,1,
10/21/2008,Indianapolis,Indiana,HS,1,
10/26/2008,Conway,Arkansas,C,2,
10/26/2008,Conway,Arkansas,C,2,1
10/31/2008,Stockton Springs,Maine,ES,0,
11/12/2008,Fort Lauderdale,Florida,HS,1,
11/13/2008,Fort Lauderdale,Florida,HS,1,0
11/15/2008,St. George,Utah,HS,1,
11/21/2008,Savannah,Georgia,C,0,
1/8/2009,New Castle,Delaware,HS,0,
1/9/2009,Chicago,Illinois,HS,0,
1/9/2009,Chicago,Illinois,HS,0,5
1/23/2009,Cahokia,Illinois,HS,1,
2/7/2009,Houston,Texas,C,1,
2/11/2009,El Monte,California,ES,0,
2/17/2009,Detroit,Michigan,HS,0,
3/6/2009,Fayetteville,North Carolina,HS,0,
3/10/2009,Jacksonville,Florida,HS,2,
4/10/2009,Dearborn,Michigan,C,1,
4/24/2009,Houston,Texas,C,1,
4/26/2009,Hampton,Virginia,C,0,
4/26/2009,Hampton,Virginia,C,0,3
5/1/2009,Sheboygan,Wisconsin,HS,0,
5/5/2009,Canandaigua,New York,HS,0,
5/18/2009,Larose,Louisiana,MS,0,
5/18/2009,Cambridge,Massachusetts,C,1,
5/18/2009,Cambridge,Massachusetts,C,1,0
5/18/2009,Larose,Louisiana,MS,1,0
6/9/2009,Lexington,Kentucky,MS,1,
6/16/2009,San Francisco,California,HS,0,
6/16/2009,San Francisco,California,HS,0,3
6/24/2009,Parkersburg,Iowa,HS,1,
9/2/2009,San Bruno,California,C,0,
9/3/2009,Atlanta,Georgia,C,1,
