Name,State,Region,Pressident,Start Year,End Year
Uruguay Presidential Inauguration,URU,Latin America & Caribbean,Harry S. Truman,1947,1947.0
,CHN,Asia,Harry S. Truman,1948,1949.0
Greek Civil War,GRC,Europe,Harry S. Truman,1948,1949.0
Arab-Israeli Conflict  Evacuation,ISR,Asia,Harry S. Truman,1948,1949.0
Berlin Airlift,RUS,Europe,Harry S. Truman,1948,1949.0
,CHN,Asia,Harry S. Truman,1949,1950.0
,TAW,Asia,Harry S. Truman,1949,1950.0
Yugaslavian Split from Eastern Bloc,"YUG, BUL, RUS",Europe,Harry S. Truman,1949,1951.0
Korean War,"CHN, PRK",Asia,Harry S. Truman,1950,1953.0
Jayuya Uprising  ,PRI,Latin America & Caribbean,Harry S. Truman,1950,1950.0
Huk Rebellion,PHL,Asia,Harry S. Truman,1951,1954.0
U.S. Protection of Taiwan,TAW,Asia,Harry S. Truman,1951,1954.0
,ECU,Latin America & Caribbean,Harry S. Truman,1952,1952.0
Air interdictions with China and Russia,"CHN, RUS",Asia,Dwight D. Eisenhower,1953,1953.0
Aircraft Interception,"CZE, RUS",Europe,Harry S. Truman,1953,1953.0
Coup in Iran,IRN,Asia,Dwight D. Eisenhower,1953,1953.0
AGGREGATED TO FIRST TAIWAN STRAIT CRISIS,"RUS, CHN",Europe,Harry S. Truman,1953,1956.0
First Taiwanese Strait Crisis,"TAW, CHN",Asia,Harry S. Truman,1953,1955.0
Cathay Pacific Douglas DC-4 Shootdown,CHN,Asia,Dwight D. Eisenhower,1954,1954.0
Guatemala Coup D'etat,GUA,Latin America & Caribbean,Dwight D. Eisenhower,1954,1954.0
Nicaragua/Costa Rica Dispute,NIC,Latin America & Caribbean,Dwight D. Eisenhower,1954,1954.0
Threat to North Korea,PRK,Asia,Dwight D. Eisenhower,1954,1956.0
,SWZ,Europe,Dwight D. Eisenhower,1954,1954.0
Chinese Air Battle,CHN,Asia,Dwight D. Eisenhower,1955,1955.0
Military Advisors to Vietnam,DRV,Asia,Dwight D. Eisenhower,1955,1964.0
,ECU,Latin America & Caribbean,Dwight D. Eisenhower,1955,1955.0
,PER,Latin America & Caribbean,Dwight D. Eisenhower,1955,1955.0
Search & Rescue in East China Sea,CHN,Asia,Dwight D. Eisenhower,1956,1956.0
,EGY,Africa,Dwight D. Eisenhower,1956,1956.0
Suez Crisis,RUS,Europe,Dwight D. Eisenhower,1956,1956.0
Skirmish over Chinese Air Space,CHN,Asia,Dwight D. Eisenhower,1957,1957.0
,CZE,Europe,Dwight D. Eisenhower,1957,1957.0
,SYR,Asia,Dwight D. Eisenhower,1957,1957.0
,ALB,Europe,Dwight D. Eisenhower,1958,1958.0
Second Taiwan Strait Crisis,CHN,Europe,Dwight D. Eisenhower,1958,1958.0
,CUB,Latin America & Caribbean,Dwight D. Eisenhower,1958,1958.0
,GDR,Europe,Dwight D. Eisenhower,1958,1958.0
,GUA,Latin America & Caribbean,Dwight D. Eisenhower,1958,1958.0
Tension with Iraq,IRQ,Asia,Dwight D. Eisenhower,1958,1959.0
Operation Blue Bat,"LEB, RUS, IRQ, EGY",Asia,Dwight D. Eisenhower,1958,1958.0
,PAN,Latin America & Caribbean,Dwight D. Eisenhower,1958,1959.0
Air Incidents,PRK,Asia,Dwight D. Eisenhower,1958,1961.0
Berlin Corridor Issue,RUS,Europe,Dwight D. Eisenhower,1958,1959.0
Accidental Violations of Soviet Airspace,RUS,Europe,Dwight D. Eisenhower,1958,1958.0
,RUS,Europe,Dwight D. Eisenhower,1958,1958.0
